key1,key2,value
1,1,1.2225479461213602
1,2,1.5369786780003938
1,3,0.9108323367601783
2,1,1.772273818101963
2,2,1.1513417988186363
2,3,1.4366918309979773
3,1,0.7679569347855026
3,2,0.7993057257530753
3,3,0.2951426901825964
4,1,1.375244826161039
4,2,1.785319652422733
4,3,1.7208811308450427
5,1,1.770930411019732
5,2,1.55684081353465
5,3,0.43768227362463885
6,1,1.608219712346286
6,2,1.3918235528164766
6,3,0.9290997691485043
7,1,1.1148115880667906
7,2,1.8349400289108804
7,3,0.24271719837876882
8,1,0.26667821111405776
8,2,0.9292864749964733
8,3,1.0622637717111774
9,1,1.1178505807437347
9,2,0.6345959149306952
9,3,1.510500027111559
10,1,0.8851468505360531
10,2,1.6300130146633678
10,3,1.7840405926820362
11,1,0.8534815137173111
11,2,1.8137094609122268
11,3,0.8918272241534009
12,1,0.3183158150859986
12,2,1.7229898195665245
12,3,0.9001395144938162
13,1,1.503553573001023
13,2,1.6797257756838415
13,3,0.554622706261481
14,1,1.5553496706679435
14,2,0.9691940341405336
14,3,0.47849172762926573
15,1,0.8797451865298054
15,2,1.4270897252221129
15,3,0.46898715602927066
