key1,key2,value
1,1,9.063568465825357
1,2,8.234693736964793
1,3,21.698567915883764
1,4,7.13228686234028
1,5,3.438649422074473
1,6,0.0
1,7,31.17326048040176
1,8,26.155385954491738
1,9,13.489124035145
1,10,2.3694121167950044
1,11,19.374680576582882
1,12,24.56012411228425
2,1,28.254575820870727
2,2,3.479010480753203
2,3,24.33377584095926
2,4,3.3639696199349665
2,5,0.0
2,6,21.45356571038257
2,7,16.43781164389284
2,8,3.1859078003421892
2,9,29.677093903371762
2,10,10.918398179679183
2,11,22.51039244977508
2,12,16.245686007268883
3,1,22.08772643062963
3,2,0.0
3,3,23.918222871676697
3,4,25.248450681825858
3,5,17.926277247795507
3,6,17.976412689078458
3,7,24.8405906084618
3,8,15.73027020961521
3,9,29.43881961135718
3,10,13.963826972813017
3,11,0.5298348221641831
3,12,29.65525448420177
