key1,key2,value
1,1,0.0
1,2,13.255917830908423
1,3,13.23086902000415
1,4,12.017974704112278
1,5,0.0
1,6,14.086115882331926
1,7,0.0
1,8,13.872217342479551
1,9,11.979088352221465
1,10,11.260660120364852
1,11,0.0
1,12,13.867931182923893
1,13,12.247371590967639
1,14,11.503820196935035
1,15,13.833882951318463
2,1,12.304922784575115
2,2,9.926427836485836
2,3,10.565476404596076
2,4,12.184619313546703
2,5,10.504271273137709
2,6,0.0
2,7,12.842704157764873
2,8,10.020996308567664
2,9,12.58142133352997
2,10,12.883825795912855
2,11,12.234903090281158
2,12,11.009768445911373
2,13,0.0
2,14,11.644813554533496
2,15,10.097318833504595
3,1,6.204170152149693
3,2,6.999881959101537
3,3,5.74026300867571
3,4,0.0
3,5,0.0
3,6,0.0
3,7,6.530864866451166
3,8,0.0
3,9,7.099571974958487
3,10,0.0
3,11,0.0
3,12,7.992527766839266
3,13,6.072737332643982
3,14,5.1394055750855525
3,15,0.0
4,1,13.45565987970506
4,2,0.0
4,3,11.479360636047092
4,4,13.508522086389265
4,5,14.15570348921015
4,6,0.0
4,7,13.889383464411903
4,8,13.613325647100405
4,9,11.661319671065863
4,10,11.532280026393181
4,11,0.0
4,12,12.477241734930177
4,13,0.0
4,14,0.0
4,15,13.028127548056997
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,7.2894884065938195
5,6,5.888379066038631
5,7,5.7651121712566376
5,8,0.0
5,9,0.0
5,10,8.14506776603032
5,11,8.002917991773558
5,12,7.945689655038114
5,13,0.0
5,14,7.68287288947884
5,15,5.495431532270695
6,1,4.264145012855062
6,2,3.6672151604274252
6,3,4.754670744197262
6,4,0.0
6,5,3.087478504642006
6,6,0.0
6,7,3.139471839706142
6,8,5.167568825689364
6,9,4.956238011102485
6,10,0.0
6,11,0.0
6,12,5.5034005882447214
6,13,0.0
6,14,3.870376252732372
6,15,4.342717222671267
7,1,14.24728599589373
7,2,0.0
7,3,14.65327336223018
7,4,13.636299986972753
7,5,13.561836545465464
7,6,14.216485789845382
7,7,12.653727592890219
7,8,14.887897747032117
7,9,13.586169748334294
7,10,0.0
7,11,13.543176505642109
7,12,13.318492325700753
7,13,12.811316850627811
7,14,12.412939380849497
7,15,0.0
8,1,12.843779767689638
8,2,0.0
8,3,0.0
8,4,0.0
8,5,13.30960469017586
8,6,13.602842167006086
8,7,11.02716811780534
8,8,0.0
8,9,11.070238683258856
8,10,12.740668377386829
8,11,13.292885731120258
8,12,0.0
8,13,0.0
8,14,12.923832618799729
8,15,13.573368852157305
9,1,7.822052023506537
9,2,7.037093673412324
9,3,0.0
9,4,0.0
9,5,6.911909410130628
9,6,9.160365094317742
9,7,0.0
9,8,0.0
9,9,0.0
9,10,0.0
9,11,8.29956214289839
9,12,0.0
9,13,0.0
9,14,0.0
9,15,8.531799928455012
10,1,0.0
10,2,9.635077890359998
10,3,11.079640227927582
10,4,11.169764714165776
10,5,8.749929799078334
10,6,9.694071833048714
10,7,11.238587803618703
10,8,0.0
10,9,0.0
10,10,0.0
10,11,10.753591292345982
10,12,0.0
10,13,11.615512628899307
10,14,10.290760613371198
10,15,9.869068350590092
